gene,protein,r1,r2,p1,p2,Class.pr
HOG1,FAS2,-0.1830432,-0.075587446775352,0.113556,0.849430148656442,No effect
HOG1,HTB2,-0.010494733,-0.168397117942176,0.993635,0.707263203779326,No effect
HOG1,RNR2,0.19861987,-0.174001814518713,0.00792961,0.286273383641526,No effect
HOG1,SSA1,0.38148273,-0.310781952740359,0.306428,0.216576335335207,No effect
HOG1,TDH1,0.16290608,-0.0296606288888027,0.885916,0.945352496076237,No effect
HOG1,TDH2,0.11306034,-0.255197819731754,0.930854,0.460516633053959,No effect
HOG1,TDH3,0.13874895,0.100081084097676,0.916501,0.811901998777196,No effect
HOG1,YHB1,0.76750226,-0.336345957936961,4.21796e-9,0.36440887364569,Study 1 only
ACE2,ENO2,0.0804803,-0.0841670490970382,0.711075,0.868104661140498,No effect
ACE2,FAS1,-0.22017214,-0.5708526364334,0.00181745,0.00147750840322081,Study 2 only
ACE2,FAS2,-0.17949832,-0.521930351664539,0.00557651,0.0386418626485466,Study 2 only
ACE2,HTB2,0.13498316,-0.729846764225243,0.052137,4.02551804051703e-5,Study 2 only
ACE2,RNR2,-0.0035866665,-0.244529862051844,0.976612,0.394549390125053,No effect
ACE2,SSA1,0.35765334,0.482733368520904,0.016973,0.184352644096707,No effect
ACE2,TDH1,0.11982095,0.196754960066452,0.5594,0.717907138804417,No effect
ACE2,TDH2,0.036566632,-0.566067092131811,0.896902,0.0088152675942678,Study 2 only
ACE2,TDH3,0.22135743,-0.862863197653324,0.27708,4.70698807580313e-6,Study 2 only
ACE2,YHB1,0.41036282,-0.419364292357155,0.00302091,0.0510858362002484,No effect
RFX1,ENO2,0.026275991,0.172807023014473,0.949602,0.48964575424609,No effect
RFX1,FAS1,0.034694656,-0.0384992883692837,0.826153,0.949018168015545,No effect
RFX1,FAS2,0.010579351,3.97685852625353,0.952942,5.89453187234907e-78,Study 2 only
RFX1,HTB2,-0.17226876,0.0423692039541511,0.0214978,0.94586616581135,No effect
RFX1,RNR2,3.3487423,-0.0278552270969074,0,0.924887111697807,Study 1 only
RFX1,SSA1,0.11942258,0.101662148896979,0.65883100000000006,0.797009136667761,No effect
RFX1,TDH1,-0.030250872,0.00178381184499302,0.943523,0.997076218832493,No effect
RFX1,TDH2,0.099887648,0.107632838897427,0.771079,0.82160784397201,No effect
RFX1,TDH3,0.063323457,-0.267269535583145,0.879524,0.352472983905847,No effect
RFX1,YHB1,-0.49170928,-0.133479039413447,7.98913e-4,0.801690015121287,No effect
SWI6,ENO2,-0.086910305,-0.0617648895742418,0.561896,0.863394383071244,No effect
SWI6,FAS1,-0.23522924,-0.144294285037502,9.10615e-5,0.747901424127008,No effect
SWI6,FAS2,0.10878537,-0.0791422108574052,0.0620055,0.841155477784729,No effect
SWI6,HTB2,-0.42465281,-0.299374375320877,2.48039e-14,0.399804289600223,No effect
SWI6,RNR2,0.53528658,-0.221879570887275,9.79132e-21,0.130219631360688,Study 1 only
SWI6,SSA1,0.15520521,-0.55232891574818,0.252915,0.00560671052333249,Study 2 only
SWI6,TDH1,0.22785195,-0.292614816084932,0.0996069,0.16596102608601,No effect
SWI6,TDH2,0.058579724,-0.290536866916768,0.738637,0.375721819210088,No effect
SWI6,TDH3,0.24452177,-0.49092010326768,0.11042,0.0262710748369871,No effect
SWI6,YHB1,-1.1719534,-0.260036217196785,1.04638e-23,0.532852851923505,Study 1 only
PDR8,ENO2,-0.037679013,-0.0537509287738799,0.999924,0.88445189463855,No effect
PDR8,FAS1,-0.044118861,-0.121555894730066,0.999924,0.79828643310108,No effect
PDR8,FAS2,-0.11868778,-0.040242241895459,0.999924,0.929607760790214,No effect
PDR8,HTB2,0.060019706,-0.120697121600541,0.999924,0.81060810488182,No effect
